"screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"sheldongilbert","206471317",2018-03-01 23:29:40,"969354008480579584","This unusually-bad cold &amp; flu season most reminds me of...

https://t.co/CcF5cEao60",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for Android",NA,NA,NA,NA,"nypost.com/2018/02/02/wor…","https://nypost.com/2018/02/02/worst-flu-season-in-a-decade-is-getting-even-worse/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caitie8","22686961",2018-03-01 23:29:39,"969354007025250309","This time of year is so depressing bc I always get so many jerks yelling at me. I suspect it's a combination of tax… https://t.co/wUrgzFwvqD",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for Android",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/969354007025250309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MikeStobbe","22664758",2018-03-01 23:29:36,"969353995553828865","@KimBlusher Hi Ms. Blusher, this is from Mike Stobbe, an AP health reporter. I'm doing a flu season update story an… https://t.co/FRPamrwjV9",0,0,FALSE,NA,FALSE,NA,"968600281092157440","815429349029646340","KimBlusher","en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/969353995553828865","KimBlusher","815429349029646340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malik_Devon99","776429616",2018-03-01 23:29:36,"969353994345877504","Never had the flu before and it sucks<f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+00A2>",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shaynalynnh","920052926021644289",2018-03-01 23:29:32,"969353978910859265","Having the flu &amp; cramping when you have endometriosis is probably as close to hell that you can get without actually being in hell",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sunoppositemoon","15091490",2018-03-01 23:29:30,"969353970153086981","@PeoplesOracle I know! I'd hope that doctors were wiser, but with the flu going around I could see how this could be a misdiagnosis.",0,0,FALSE,NA,FALSE,NA,"969353725600034816","803410987172921344","PeoplesOracle","en","TweetDeck",NA,NA,NA,NA,NA,NA,"PeoplesOracle","803410987172921344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Health__Newz","895417170758447104",2018-03-01 23:29:27,"969353956169306112","Florida Teen Initially Diagnosed with the Flu Discovers He Actually Has Stage 4 #Cancer https://t.co/Kk9gjproFs https://t.co/iNZLunUBdt",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","YoruFukurou","969353954827161600","http://pbs.twimg.com/media/DXPWSTsX0AAjLq1.jpg","https://twitter.com/Health__Newz/status/969353956169306112/photo/1",NA,"goo.gl/C2yHjF","https://goo.gl/C2yHjF",NA,NA,NA,"Cancer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ColumbusCP","63964871",2018-03-01 23:29:25,"969353948451745794","Teen told he likely had the flu really had stage 4 cancer 10TV https://t.co/F1R6sSqRVj",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Columbus Now",NA,NA,NA,NA,"toplocalnow.com/us/columbus/at…","http://toplocalnow.com/us/columbus/at/18#t13224353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J0rdanLair","332651703",2018-03-01 23:29:25,"969353945784225793","Why are you defending obesity??? We don’t shame people for having the flu but they’re clearly not healthy!!! https://t.co/qD0sn0Ev5J",0,0,TRUE,"968890230198632449",FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/sofiehagen/sta…","https://twitter.com/sofiehagen/status/968890230198632449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nuttyfootychick","26884489",2018-03-01 23:29:19,"969353923357237253","RT @SarahDa15849051: Just perfect in every way. Cool &amp; calm ... how can he die age 12 when he loved life &amp; was a complete delight ! 
Sepsis…",62,0,FALSE,NA,TRUE,"969179599987863552",NA,NA,NA,"en","Twitter for Android",NA,NA,NA,NA,NA,NA,"SarahDa15849051","959927602445193219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"maxileoa","3200811893",2018-03-01 23:29:18,"969353919368482816","RT @Sporting160EN: William and Coentrão are back at full steam. The flu is part of the past <f0><U+009F><U+0092><U+00AA><f0><U+009F><U+0098><U+008A> https://t.co/bPHrU64GGT",9,0,FALSE,NA,TRUE,"969197690558013440",NA,NA,NA,"en","Twitter for Android","969197678793052160","http://pbs.twimg.com/media/DXNIJ2GX0AAdRrm.jpg","https://twitter.com/Sporting160EN/status/969197690558013440/photo/1",NA,NA,NA,"Sporting160EN","1093270542",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRJon","16367263",2018-03-01 23:29:16,"969353908622675968","@lindy2350 Hi there. Sent you couple of emails on flu vaccine dervived from tobacco plants. In late stage clinical… https://t.co/eGQa0c1JwB",0,0,FALSE,NA,FALSE,NA,"961768587814989824","8653962","lindy2350","en","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/969353908622675968","lindy2350","8653962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MandaCollins","15304264",2018-03-01 23:29:05,"969353863013773312","RT @aldotcom: A Florida teen was told he had the flu. It was stage 4 cancer. https://t.co/YjlHy011ZC https://t.co/2vFOVMqDHc",2,0,FALSE,NA,TRUE,"969352237054087174",NA,NA,NA,"en","Twitter for Android","969352234797617157","http://pbs.twimg.com/media/DXPUuMFX0AUms9t.jpg","https://twitter.com/aldotcom/status/969352237054087174/photo/1",NA,"trib.al/DhxoSEj","https://trib.al/DhxoSEj","aldotcom","14528874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FWM_itsPEBS","239250546",2018-03-01 23:29:05,"969353861696774145","The flu<f0><U+009F><U+0098><U+00A9><f0><U+009F><U+0098><U+0092>",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"umichmedicine","15457383",2018-03-01 23:29:02,"969353852980998146","Cold, #flu, sinus pain, coughing? If you see a U-M family medicine or general medicine doctor, you can get a care p… https://t.co/WHCnpJk1iS",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Sprout Social",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/969353852980998146",NA,NA,NA,"flu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"barretoalice1","1638678906",2018-03-01 23:28:53,"969353812749312000","RT @Mul4mb0: 9 fla flu sem ganhar os cara ganham 1 da nisso https://t.co/ByH3k4419t",119,0,TRUE,"969341486159581184",TRUE,"969347711203008512",NA,NA,NA,"pt","Twitter for Android",NA,NA,NA,NA,"twitter.com/fluminensefc/s…","https://twitter.com/fluminensefc/status/969341486159581184","Mul4mb0","94408147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DrSeraJames","3032093667",2018-03-01 23:28:43,"969353772244840448","RT @CDCFlu: #FluFact: Did you know you can get #flu more than once a season? More than one flu virus is circulating, which is why flu vacci…",80,0,FALSE,NA,TRUE,"969256068571369473",NA,NA,NA,"en","Twitter Web Client",NA,NA,NA,NA,NA,NA,"CDCFlu","16616061",NA,"FluFact flu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"msgurl228","111298963",2018-03-01 23:28:42,"969353766683234305","Good thing i can stream workouts at home since my gym partna nursing the flu......<f0><U+009F><U+0099><U+0084><f0><U+009F><U+0098><U+00B7><f0><U+009F><U+00A4><U+00A2>",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Facebook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CraigyD","12521152",2018-03-01 23:28:39,"969353756101005312","Oh and must cold/flu medicine always taste so vile?",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for Android",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nara_flu","956651394349617152",2018-03-01 23:28:38,"969353751466307584","RT @hypenacional: Don L - N.A.D.A.B.O.M II https://t.co/esXy2TmJfp",92,0,FALSE,NA,TRUE,"969335792949743616",NA,NA,NA,"und","Twitter for Android","969335111924764672","http://pbs.twimg.com/ext_tw_video_thumb/969335111924764672/pu/img/K7HctSFwkHtkpaK-.jpg","https://twitter.com/hypenacional/status/969335792949743616/video/1",NA,NA,NA,"hypenacional","966432593494364161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abbywithyou_","1330034510",2018-03-01 23:28:38,"969353750233206785","the whole fams got the flu.. lemme go book a hotel for tonight.",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KO_Crowley","785573118",2018-03-01 23:28:34,"969353733564805121","Giants injury update from Bruce Bochy

-Ryder Jones out about 10 days (hamstring)
-Hector Sanchez out 1-to-2 weeks… https://t.co/22MUeQ6zXJ",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/i/web/status/9…","https://twitter.com/i/web/status/969353733564805121",NA,NA,NA,NA,NA,"0a0de7bd49ef942d","city","Scottsdale","Scottsdale, AZ","US","United States","-111.960775 -111.756022 -111.756022 -111.960775 33.4358637 33.4358637 33.842816 33.842816","Polygon"
"wendeudias9","718260026054438914",2018-03-01 23:28:33,"969353728238252032","RT @fluzaott: HOJE TEM FLU E NÓS TA COMO
#DiaDeFlu https://t.co/cE5l1ykcqf",44,0,FALSE,NA,TRUE,"969226234516393984",NA,NA,NA,"pt","Twitter for Android","969226045420425217","http://pbs.twimg.com/media/DXNh9ABXUAEL82e.jpg","https://twitter.com/fluzaott/status/969226234516393984/photo/1",NA,NA,NA,"fluzaott","4116297881",NA,"DiaDeFlu",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OwlCottage1","884350551055618048",2018-03-01 23:28:32,"969353725491011586","RT @NPNMorpeth: F rota Officers have just completed a 13hr shift trying to keep you safe and moving. Horrendous conditions and some nasty c…",20,0,FALSE,NA,TRUE,"969295765096075264",NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"NPNMorpeth","4924104329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RonSocoldx","4243172764",2018-03-01 23:28:29,"969353713994420224","RT @TheRealEzraA: ya mcm stood outside and caught the flu because he had too many holes in his jeans",70,0,FALSE,NA,TRUE,"969272578933248001",NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,"TheRealEzraA","1517843282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
